Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tyreke Evans,evansty01,2017,NBA,27,NOP,SF,26,0,474,6.9,17.2,0.401,1.6,5.3,0.300,5.3,11.9,0.446,0.447,3.4,4.4,0.776,0.5,6.1,6.5,6.9,1.7,0.3,3.0,3.1,18.8
No,Tyreke Evans,evansty01,2017,NBA,27,SAC,SF,14,6,314,6.8,16.4,0.413,2.4,5.5,0.438,4.4,10.9,0.400,0.486,2.8,3.9,0.706,0.8,5.0,5.8,3.8,1.4,0.6,2.5,2.2,18.7
No,Dante Exum,exumda01,2017,NBA,21,UTA,PG,66,26,1228,4.5,10.6,0.427,1.3,4.4,0.295,3.3,6.3,0.519,0.488,1.7,2.1,0.795,0.9,3.0,3.9,3.3,0.6,0.4,2.3,4.3,12.1
No,Kenneth Faried,farieke01,2017,NBA,27,DEN,PF,61,34,1296,6.3,11.6,0.548,0.0,0.2,0.000,6.3,11.4,0.556,0.548,3.6,5.2,0.693,5.1,7.8,12.8,1.5,1.2,1.1,1.6,3.4,16.3
No,Jordan Farmar,farmajo01,2017,NBA,30,SAC,PG,2,0,35,4.1,12.3,0.333,4.1,9.3,0.444,0.0,3.1,0.000,0.500,0.0,0.0,,1.0,2.1,3.1,9.3,2.1,0.0,3.1,1.0,12.3
No,Derrick Favors,favorde01,2017,NBA,25,UTA,PF,50,39,1186,6.2,12.7,0.487,0.1,0.3,0.300,6.1,12.4,0.491,0.490,2.0,3.3,0.615,2.8,6.5,9.3,1.7,1.4,1.2,1.8,3.1,14.4
No,Kay Felder,feldeka01,2017,NBA,21,CLE,PG,42,0,386,5.8,14.7,0.392,0.7,2.1,0.318,5.1,12.7,0.404,0.415,3.3,4.6,0.714,0.3,3.5,3.8,5.4,1.7,0.7,2.8,3.5,15.5
No,Cristiano Felício,feliccr01,2017,NBA,24,CHI,C,66,0,1040,4.4,7.7,0.579,0.0,0.0,,4.4,7.7,0.579,0.579,2.1,3.2,0.645,4.3,6.5,10.8,1.4,0.9,0.6,1.1,3.8,10.9
No,Raymond Felton,feltora01,2017,NBA,32,LAC,PG,80,11,1700,4.7,10.9,0.430,1.0,3.0,0.319,3.7,7.8,0.473,0.475,1.1,1.4,0.781,0.7,3.9,4.6,4.0,1.4,0.5,1.8,2.6,11.4
No,Yogi Ferrell,ferreyo01,2017,NBA,23,2TM,PG,46,29,1197,4.8,11.8,0.406,2.0,5.3,0.386,2.8,6.6,0.422,0.492,2.2,2.7,0.831,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9
No,Yogi Ferrell,ferreyo01,2017,NBA,23,BRK,PG,10,0,151,4.3,11.7,0.367,1.9,6.4,0.296,2.4,5.2,0.455,0.449,2.4,3.8,0.625,1.0,1.9,2.9,4.1,0.5,0.5,3.3,2.6,12.9
No,Yogi Ferrell,ferreyo01,2017,NBA,23,DAL,PG,36,29,1046,4.9,11.9,0.412,2.1,5.1,0.403,2.8,6.7,0.418,0.499,2.2,2.5,0.877,0.6,2.9,3.4,5.3,1.4,0.2,1.9,2.7,14.0
No,Dorian Finney-Smith,finnedo01,2017,NBA,23,DAL,PF,81,35,1642,2.7,7.3,0.372,1.2,4.2,0.293,1.5,3.1,0.479,0.456,1.0,1.3,0.754,1.2,3.7,4.9,1.5,1.1,0.5,1.0,2.7,7.7
